,MSE,RMSE,MAE,MAPE,Correlation,QLIKE,Failed_Rate
GARCH,0.3516905880790208,0.5930350647972014,0.4117744890537307,59.43778053904849,0.6260385363100277,1.5533644203711376,0.0
GJR-GARCH,0.3731709899797361,0.6108772298749857,0.40729462867459226,58.730262132452026,0.5912305605483266,1.6414826189464997,0.0
TARCH,0.38855752127233606,0.6233438226792145,0.4069148094253628,58.588125246012766,0.5594242643411657,1.6013192361665043,0.0
EGARCH,inf,inf,2.7362873326413136e+152,4.145085155778946e+154,0.0,2.5702727344452004e+123,6.938775510204081
AVGARCH,0.33397474667122584,0.5779054824720266,0.39714389302909636,56.915881609329446,0.6369051384107774,1.4256444622627162,0.0
FIGARCH,0.36546300036102597,0.6045353590659739,0.40715480454259306,58.254131591461125,0.6027301094705296,1.521881692698178,0.0
