Loss Function,R²,MAE,MSE,MAPE (%),MedAE,Mean Error,Std Error
MSE,-0.7528638280705602,0.0029503726,1.2081874e-05,68.10269355773926,0.0027698297,-0.0020220804,0.002827201
QLL,-8.436569226990107,0.0077277184,6.556932e-05,187.0275855064392,0.008314464,-0.00763128,0.0027079307
