,MSE,RMSE,MAE,MAPE,Correlation,QLIKE,Failed_Rate
GARCH,0.5279516998564049,0.7266028487808212,0.543704823878408,62.22851559763238,0.6163255808190097,1.8712872071071165,0.0
GJR-GARCH,0.5632975193478351,0.7505314912432623,0.5374402726015792,61.329247404277034,0.559477249382119,1.9446835562641283,0.0
TARCH,0.542056690270789,0.736244993375703,0.5226182496157659,59.26422466418544,0.5720088711178459,1.922432990002043,0.0
EGARCH,inf,inf,3.3242498999858005e+152,4.210789500359269e+154,0.0,3.784156286729036e+151,7.851239669421488
AVGARCH,0.5069991344801761,0.7120387169811597,0.5358630189205186,61.40217255071659,0.6107030835531164,1.7678488449886713,0.0
FIGARCH,0.5635071801345662,0.7506711531253657,0.5474770833831459,62.00226828390068,0.5715824805533725,1.809421588184381,0.0
