number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_size,params_learning_rate,params_num_layers,params_seq_length,state
37,-999.0,2025-10-29 19:28:09.800797,2025-10-29 19:28:09.871509,0 days 00:00:00.070712,16,0.30000000000000004,128,0.00012992592019585547,1,22,COMPLETE
38,-999.0,2025-10-29 19:28:09.874345,2025-10-29 19:28:09.935032,0 days 00:00:00.060687,16,0.2,128,0.00040386505596306973,1,16,COMPLETE
39,-0.07622811580039612,2025-10-29 19:28:09.935032,2025-10-29 19:28:12.163809,0 days 00:00:02.228777,32,0.5,128,0.00010488101410479353,3,18,COMPLETE
40,-0.01169254529521413,2025-10-29 19:28:12.171326,2025-10-29 19:28:13.896485,0 days 00:00:01.725159,16,0.2,128,0.0001591516769539538,1,20,COMPLETE
41,0.01584986092965468,2025-10-29 19:28:13.898492,2025-10-29 19:28:15.537577,0 days 00:00:01.639085,16,0.2,128,0.0001259220645850261,1,20,COMPLETE
42,-999.0,2025-10-29 19:28:15.538839,2025-10-29 19:28:15.609057,0 days 00:00:00.070218,16,0.2,128,0.00023432496342643954,1,20,COMPLETE
43,-0.08471992794541006,2025-10-29 19:28:15.611571,2025-10-29 19:28:17.406608,0 days 00:00:01.795037,16,0.2,128,0.00014610657592129645,1,22,COMPLETE
44,0.060979249798307156,2025-10-29 19:28:17.408612,2025-10-29 19:28:18.575318,0 days 00:00:01.166706,16,0.2,128,0.00018365848213290476,1,16,COMPLETE
45,0.024145976429714278,2025-10-29 19:28:18.578821,2025-10-29 19:28:19.265059,0 days 00:00:00.686238,32,0.2,64,0.0002603450869917862,1,12,COMPLETE
46,0.0576354468317829,2025-10-29 19:28:19.268655,2025-10-29 19:28:22.154801,0 days 00:00:02.886146,16,0.2,128,0.00018129168298349198,2,16,COMPLETE
47,-999.0,2025-10-29 19:28:22.159428,2025-10-29 19:28:22.278089,0 days 00:00:00.118661,16,0.30000000000000004,128,0.000523169475219478,2,16,COMPLETE
48,-0.19005185983770367,2025-10-29 19:28:22.280350,2025-10-29 19:28:23.633380,0 days 00:00:01.353030,32,0.2,128,0.00020698368669674232,3,14,COMPLETE
49,-999.0,2025-10-29 19:28:23.636758,2025-10-29 19:28:23.772076,0 days 00:00:00.135318,16,0.2,128,0.0003316308363574645,2,12,COMPLETE
