Code,Name,Date,Open,High,Low,Close,Pct_Change,Amount(million),Volume(shares)
NDX.GI,NASDAQ100,1985-02-04,126.22,126.22,126.22,126.22,0,0,0
NDX.GI,NASDAQ100,1985-02-05,126.76,126.76,126.76,126.76,0.0043,0,0
NDX.GI,NASDAQ100,1985-02-06,127.16,127.16,127.16,127.16,0.0032,0,0
NDX.GI,NASDAQ100,1985-02-07,128.56,128.56,128.56,128.56,0.011,0,0
NDX.GI,NASDAQ100,1985-02-08,128.65,128.65,128.65,128.65,0.0007,0,0
NDX.GI,NASDAQ100,1985-02-11,127.8,127.8,127.8,127.8,-0.0066,0,0
NDX.GI,NASDAQ100,1985-02-12,126.97,126.97,126.97,126.97,-0.0065,0,0
NDX.GI,NASDAQ100,1985-02-13,127.88,127.88,127.88,127.88,0.0072,0,0
NDX.GI,NASDAQ100,1985-02-14,127.01,127.01,127.01,127.01,-0.0068,0,0
NDX.GI,NASDAQ100,1985-02-15,126.02,126.02,126.02,126.02,-0.0078,0,0
NDX.GI,NASDAQ100,1985-02-19,125.09,125.09,125.09,125.09,-0.0074,0,0
NDX.GI,NASDAQ100,1985-02-20,125.48,125.48,125.48,125.48,0.0031,0,0
NDX.GI,NASDAQ100,1985-02-21,125.25,125.25,125.25,125.25,-0.0018,0,0
NDX.GI,NASDAQ100,1985-02-22,124.95,124.95,124.95,124.95,-0.0024,0,0
NDX.GI,NASDAQ100,1985-02-25,123.59,123.59,123.59,123.59,-0.0109,0,0
NDX.GI,NASDAQ100,1985-02-26,124.69,124.69,124.69,124.69,0.0089,0,0
NDX.GI,NASDAQ100,1985-02-27,123.56,123.56,123.56,123.56,-0.0091,0,0
NDX.GI,NASDAQ100,1985-02-28,123.52,123.52,123.52,123.52,-0.0003,0,0
NDX.GI,NASDAQ100,1985-03-01,124.84,124.84,124.84,124.84,0.0107,0,0
NDX.GI,NASDAQ100,1985-03-04,125.11,125.11,125.11,125.11,0.0022,0,0
NDX.GI,NASDAQ100,1985-03-05,124.6,124.6,124.6,124.6,-0.0041,0,0
NDX.GI,NASDAQ100,1985-03-06,122.5,122.5,122.5,122.5,-0.0169,0,0
NDX.GI,NASDAQ100,1985-03-07,120.61,120.61,120.61,120.61,-0.0154,0,0
NDX.GI,NASDAQ100,1985-03-08,119.79,119.79,119.79,119.79,-0.0068,0,0
NDX.GI,NASDAQ100,1985-03-11,119.22,119.22,119.22,119.22,-0.0048,0,0
NDX.GI,NASDAQ100,1985-03-12,119.72,119.72,119.72,119.72,0.0042,0,0
NDX.GI,NASDAQ100,1985-03-13,116.73,116.73,116.73,116.73,-0.025,0,0
NDX.GI,NASDAQ100,1985-03-14,115.98,115.98,115.98,115.98,-0.0064,0,0
NDX.GI,NASDAQ100,1985-03-15,116.61,116.61,116.61,116.61,0.0054,0,0
NDX.GI,NASDAQ100,1985-03-18,116.61,116.61,116.61,116.61,0,0,0
NDX.GI,NASDAQ100,1985-03-19,117.84,117.84,117.84,117.84,0.0105,0,0
NDX.GI,NASDAQ100,1985-03-20,117.63,117.63,117.63,117.63,-0.0018,0,0
NDX.GI,NASDAQ100,1985-03-21,117.67,117.67,117.67,117.67,0.0003,0,0
NDX.GI,NASDAQ100,1985-03-22,117.31,117.31,117.31,117.31,-0.0031,0,0
NDX.GI,NASDAQ100,1985-03-25,115.02,115.02,115.02,115.02,-0.0195,0,0
NDX.GI,NASDAQ100,1985-03-26,115.25,115.25,115.25,115.25,0.002,0,0
