Code,Name,Date,Open,High,Low,Close,Pct_Change,Amount,Volume
NDX.GI,纳斯达克100,2024-09-04 11:15,19034.81,19036.56,19008.57,19010.92,-0.0013,0,0
NDX.GI,纳斯达克100,2024-09-04 11:20,19010.73,19025.77,18998.2,19018.37,0.0004,0,0
NDX.GI,纳斯达克100,2024-09-04 11:25,19020.87,19020.87,18990.94,19000.95,-0.0009,0,0
NDX.GI,纳斯达克100,2024-09-04 11:30,19002.43,19006.11,18944.98,18945.63,-0.0029,0,0
NDX.GI,纳斯达克100,2024-09-04 11:35,18944.98,18973.55,18942.92,18966.38,0.0011,0,0
NDX.GI,纳斯达克100,2024-09-04 11:40,18965.92,18973.62,18943.56,18943.89,-0.0012,0,0
NDX.GI,纳斯达克100,2024-09-04 11:45,18944.34,18959.87,18939.92,18959.23,0.0008,0,0
NDX.GI,纳斯达克100,2024-09-04 11:50,18959.11,18973.76,18957.5,18967.03,0.0004,0,0
NDX.GI,纳斯达克100,2024-09-04 11:55,18967.07,18983.78,18960.3,18978.14,0.0006,0,0
NDX.GI,纳斯达克100,2024-09-04 12:00,18979.63,18979.63,18943.82,18959.46,-0.001,0,0
NDX.GI,纳斯达克100,2024-09-04 12:05,18959.9,18967.66,18939.14,18945.28,-0.0007,0,0
NDX.GI,纳斯达克100,2024-09-04 12:10,18945.36,18971.6,18939.95,18969.78,0.0013,0,0
NDX.GI,纳斯达克100,2024-09-04 12:15,18969.89,18971.02,18946.93,18961.15,-0.0005,0,0
NDX.GI,纳斯达克100,2024-09-04 12:20,18958.45,18985.06,18958.45,18982.49,0.0011,0,0
NDX.GI,纳斯达克100,2024-09-04 12:25,18982.55,18995.91,18980.94,18995.68,0.0007,0,0
NDX.GI,纳斯达克100,2024-09-04 12:30,18995.66,19015,18989.52,19014.13,0.001,0,0
NDX.GI,纳斯达克100,2024-09-04 12:35,19014.47,19035.49,19012.14,19033.48,0.001,0,0
NDX.GI,纳斯达克100,2024-09-04 12:40,19033.41,19038.02,19029.08,19030.92,-0.0001,0,0
NDX.GI,纳斯达克100,2024-09-04 12:45,19030.91,19030.92,18988.62,18993.62,-0.002,0,0
NDX.GI,纳斯达克100,2024-09-04 12:50,18993.89,18997.32,18978.67,18989.25,-0.0002,0,0
NDX.GI,纳斯达克100,2024-09-04 12:55,18989.79,19012.84,18989.04,19006.35,0.0009,0,0
NDX.GI,纳斯达克100,2024-09-04 13:00,19006.35,19019.29,18999.09,19010.88,0.0002,0,0
NDX.GI,纳斯达克100,2024-09-04 13:05,19010.82,19013.9,18994.06,19001.38,-0.0005,0,0
NDX.GI,纳斯达克100,2024-09-04 13:10,19001.6,19014.38,18997.4,19012.17,0.0006,0,0
NDX.GI,纳斯达克100,2024-09-04 13:15,19012.26,19017.79,18992.03,19000.12,-0.0006,0,0
NDX.GI,纳斯达克100,2024-09-04 13:20,19000.12,19008.99,18984.73,19008.55,0.0004,0,0
NDX.GI,纳斯达克100,2024-09-04 13:25,19008.63,19017.73,18989,18989.66,-0.001,0,0
NDX.GI,纳斯达克100,2024-09-04 13:30,18990.49,18992.17,18973.89,18977.52,-0.0006,0,0
NDX.GI,纳斯达克100,2024-09-04 13:35,18976.99,18979.8,18969.87,18971.81,-0.0003,0,0
NDX.GI,纳斯达克100,2024-09-04 13:40,18971.82,18984.78,18967.19,18979.34,0.0004,0,0
NDX.GI,纳斯达克100,2024-09-04 13:45,18978.8,18984.35,18962.64,18969.34,-0.0005,0,0
NDX.GI,纳斯达克100,2024-09-04 13:50,18967.82,18988.72,18967.82,18975.04,0.0003,0,0
NDX.GI,纳斯达克100,2024-09-04 13:55,18975,18975.94,18958.11,18958.25,-0.0009,0,0
NDX.GI,纳斯达克100,2024-09-04 14:00,18958.53,18969.25,18952.07,18957.72,0,0,0
NDX.GI,纳斯达克100,2024-09-04 14:05,18957.72,18964.52,18944.25,18944.25,-0.0007,0,0
NDX.GI,纳斯达克100,2024-09-04 14:10,18944.15,18971.4,18944.15,18965.57,0.0011,0,0
NDX.GI,纳斯达克100,2024-09-04 14:15,18965.59,18977.72,18952.14,18976.99,0.0006,0,0
NDX.GI,纳斯达克100,2024-09-04 14:20,18977.44,18977.44,18943.76,18943.76,-0.0018,0,0
NDX.GI,纳斯达克100,2024-09-04 14:25,18943,18963.81,18935.73,18963.81,0.0011,0,0
NDX.GI,纳斯达克100,2024-09-04 14:30,18963.46,18971.83,18962.96,18971.83,0.0004,0,0
NDX.GI,纳斯达克100,2024-09-04 14:35,18970.43,18981.75,18931.73,18938.29,-0.0018,0,0
NDX.GI,纳斯达克100,2024-09-04 14:40,18938.8,18941.34,18914.01,18923.7,-0.0008,0,0
NDX.GI,纳斯达克100,2024-09-04 14:45,18922.21,18931.29,18908.42,18911.6,-0.0006,0,0
NDX.GI,纳斯达克100,2024-09-04 14:50,18912.35,18925.08,18905.28,18920.39,0.0005,0,0
NDX.GI,纳斯达克100,2024-09-04 14:55,18920.5,18920.5,18895.19,18914.3,-0.0003,0,0
NDX.GI,纳斯达克100,2024-09-04 15:00,18914.35,18920.08,18880.58,18885.09,-0.0015,0,0
NDX.GI,纳斯达克100,2024-09-04 15:05,18884.24,18900.03,18883.92,18887.97,0.0002,0,0
