Symbol,Name,Date,open,high,low,close,pct_chg,amount,
SPX.GI,S&P 500,2024-08-29 09:50,5610.77,5618.12,5607.34,5609.18,-0.0003,0,
SPX.GI,S&P 500,2024-08-29 09:55,5608.86,5618.62,5604.53,5618.14,0.0016,0,
SPX.GI,S&P 500,2024-08-29 10:00,5618.71,5628.69,5610.56,5628.27,0.0018,0,
SPX.GI,S&P 500,2024-08-29 10:05,5626.6,5628.6,5619.37,5619.37,-0.0016,0,
SPX.GI,S&P 500,2024-08-29 10:10,5620.08,5625.24,5617.99,5619.93,0.0001,0,
SPX.GI,S&P 500,2024-08-29 10:15,5620.22,5625.4,5617.97,5623.66,0.0007,0,
SPX.GI,S&P 500,2024-08-29 10:20,5623.45,5624.17,5612.66,5618.99,-0.0008,0,
SPX.GI,S&P 500,2024-08-29 10:25,5618.35,5624,5615.06,5623.32,0.0008,0,
SPX.GI,S&P 500,2024-08-29 10:30,5622.75,5629.6,5622.33,5628.18,0.0009,0,
SPX.GI,S&P 500,2024-08-29 10:35,5628.21,5632.94,5627.9,5632.18,0.0007,0,
SPX.GI,S&P 500,2024-08-29 10:40,5632.19,5633.58,5629.46,5631.04,-0.0002,0,
SPX.GI,S&P 500,2024-08-29 10:45,5630.64,5634.55,5627.73,5630.74,-0.0001,0,
SPX.GI,S&P 500,2024-08-29 10:50,5630.73,5638.24,5630.73,5636.27,0.001,0,
SPX.GI,S&P 500,2024-08-29 10:55,5636.43,5638.93,5634.9,5635.06,-0.0002,0,
SPX.GI,S&P 500,2024-08-29 11:00,5635.17,5635.68,5629.55,5633.19,-0.0003,0,
SPX.GI,S&P 500,2024-08-29 11:05,5632.97,5634.93,5631.82,5633.32,0,0,
SPX.GI,S&P 500,2024-08-29 11:10,5633.34,5635.76,5631.47,5635.73,0.0004,0,
SPX.GI,S&P 500,2024-08-29 11:15,5635.52,5641.58,5634.38,5640.84,0.0009,0,
SPX.GI,S&P 500,2024-08-29 11:20,5640.89,5641.3,5630.67,5630.93,-0.0018,0,
SPX.GI,S&P 500,2024-08-29 11:25,5629.8,5632.72,5625.84,5630.19,-0.0001,0,
SPX.GI,S&P 500,2024-08-29 11:30,5630.71,5635.18,5629.06,5634.98,0.0009,0,
SPX.GI,S&P 500,2024-08-29 11:35,5635.15,5635.15,5631.1,5632.79,-0.0004,0,
SPX.GI,S&P 500,2024-08-29 11:40,5632.54,5635.13,5629.91,5634.26,0.0003,0,
