代码,名称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌幅,成交额(百万),成交量(股)
SPX.GI,标普500,1928-04-17,19.52,19.52,19.52,19.52,-0.0081,0,0
SPX.GI,标普500,1928-04-18,19.52,19.52,19.52,19.52,0,0,0
SPX.GI,标普500,1928-04-19,19.63,19.63,19.63,19.63,0.0056,0,0
SPX.GI,标普500,1928-04-20,19.34,19.34,19.34,19.34,-0.0148,0,0
SPX.GI,标普500,1928-04-23,19.15,19.15,19.15,19.15,-0.0098,0,0
SPX.GI,标普500,1928-04-24,19.25,19.25,19.25,19.25,0.0052,0,0
SPX.GI,标普500,1928-04-25,19.33,19.33,19.33,19.33,0.0042,0,0
SPX.GI,标普500,1928-04-26,19.47,19.47,19.47,19.47,0.0072,0,0
SPX.GI,标普500,1928-04-27,19.68,19.68,19.68,19.68,0.0108,0,0
SPX.GI,标普500,1928-04-30,19.75,19.75,19.75,19.75,0.0036,0,0
SPX.GI,标普500,1928-05-01,19.78,19.78,19.78,19.78,0.0015,0,0
SPX.GI,标普500,1928-05-02,19.83,19.83,19.83,19.83,0.0025,0,0
SPX.GI,标普500,1928-05-03,19.93,19.93,19.93,19.93,0.005,0,0
SPX.GI,标普500,1928-05-04,20.24,20.24,20.24,20.24,0.0156,0,0
SPX.GI,标普500,1928-05-07,20.41,20.41,20.41,20.41,0.0084,0,0
SPX.GI,标普500,1928-05-08,20.27,20.27,20.27,20.27,-0.0069,0,0
SPX.GI,标普500,1928-05-09,20.24,20.24,20.24,20.24,-0.0015,0,0
SPX.GI,标普500,1928-05-10,20.21,20.21,20.21,20.21,-0.0015,0,0
SPX.GI,标普500,1928-05-11,20.36,20.36,20.36,20.36,0.0074,0,0
SPX.GI,标普500,1928-05-14,20.44,20.44,20.44,20.44,0.0039,0,0
SPX.GI,标普500,1928-05-15,20.39,20.39,20.39,20.39,-0.0024,0,0
SPX.GI,标普500,1928-05-16,20.05,20.05,20.05,20.05,-0.0167,0,0
SPX.GI,标普500,1928-05-17,20.12,20.12,20.12,20.12,0.0035,0,0
SPX.GI,标普500,1928-05-18,19.92,19.92,19.92,19.92,-0.0099,0,0
SPX.GI,标普500,1928-05-21,19.63,19.63,19.63,19.63,-0.0146,0,0
SPX.GI,标普500,1928-05-22,19.36,19.36,19.36,19.36,-0.0138,0,0
SPX.GI,标普500,1928-05-23,19.75,19.75,19.75,19.75,0.0201,0,0
SPX.GI,标普500,1928-05-24,19.87,19.87,19.87,19.87,0.0061,0,0
SPX.GI,标普500,1928-05-25,19.9,19.9,19.9,19.9,0.0015,0,0
SPX.GI,标普500,1928-05-28,19.57,19.57,19.57,19.57,-0.0166,0,0
SPX.GI,标普500,1928-05-29,19.82,19.82,19.82,19.82,0.0128,0,0
SPX.GI,标普500,1928-05-31,20,20,20,20,0.0091,0,0
SPX.GI,标普500,1928-06-01,20.07,20.07,20.07,20.07,0.0035,0,0
SPX.GI,标普500,1928-06-04,19.8,19.8,19.8,19.8,-0.0135,0,0
SPX.GI,标普500,1928-06-05,19.85,19.85,19.85,19.85,0.0025,0,0
SPX.GI,标普500,1928-06-06,19.66,19.66,19.66,19.66,-0.0096,0,0
SPX.GI,标普500,1928-06-07,19.61,19.61,19.61,19.61,-0.0025,0,0
SPX.GI,标普500,1928-06-08,19.37,19.37,19.37,19.37,-0.0122,0,0
SPX.GI,标普500,1928-06-11,18.68,18.68,18.68,18.68,-0.0356,0,0
SPX.GI,标普500,1928-06-12,18.34,18.34,18.34,18.34,-0.0182,0,0
SPX.GI,标普500,1928-06-13,18.89,18.89,18.89,18.89,0.03,0,0
SPX.GI,标普500,1928-06-14,19.05,19.05,19.05,19.05,0.0085,0,0
SPX.GI,标普500,1928-06-15,18.74,18.74,18.74,18.74,-0.0163,0,0
SPX.GI,标普500,1928-06-18,18.4,18.4,18.4,18.4,-0.0181,0,0
SPX.GI,标普500,1928-06-19,18.34,18.34,18.34,18.34,-0.0033,0,0
SPX.GI,标普500,1928-06-20,18.57,18.57,18.57,18.57,0.0125,0,0
SPX.GI,标普500,1928-06-21,18.56,18.56,18.56,18.56,-0.0005,0,0
SPX.GI,标普500,1928-06-22,18.54,18.54,18.54,18.54,-0.0011,0,0
SPX.GI,标普500,1928-06-25,18.47,18.47,18.47,18.47,-0.0038,0,0
